URL Searched,Still There,Moved,New URL,Repo ID
https://github.com/microsoft/microsoft-ignite-2022-after-parties,True,True,https://github.com/microsoft/Microsoft-Community-Led-Parties,539157164.0
https://github.com/apache/logging-flume-twitter,True,False,https://github.com/apache/logging-flume-twitter,615488773.0
https://github.com/carvel-dev/difflib,True,False,https://github.com/carvel-dev/difflib,232616273.0
https://github.com/vmware/copenapi,True,True,https://github.com/vmware-archive/copenapi,73517594.0
https://github.com/vmware-samples/people-counter-ingestion,True,True,https://github.com/vmware-archive/people-counter-ingestion,226203867.0
https://github.com/vmware/ansible-role-greengrass-awscli,True,True,https://github.com/vmware-archive/ansible-role-greengrass-awscli,140378099.0
https://github.com/vmware/cloud-to-edge,True,True,https://github.com/vmware-archive/cloud-to-edge,153466524.0
https://github.com/vmware-labs/ui-guided-tours,True,True,https://github.com/vmware-archive/ui-guided-tours,315695320.0
https://github.com/cmsgov/macpro-quickstart-serverless-infra,True,True,https://github.com/Enterprise-CMCS/macpro-quickstart-serverless-infra,353382448.0
https://github.com/microsoft/azure-chat-with-your-photos-demo,False,False,,
https://github.com/microsoft/turkana-camp-roof-mapping,False,False,,
https://github.com/microsoft/woodgrove-vid,False,False,,
https://github.com/go-chassis/openlog,True,False,https://github.com/go-chassis/openlog,146725831.0
https://github.com/chromedp/sysutil,True,False,https://github.com/chromedp/sysutil,77187805.0
https://github.com/cmsgov/serverless-iam-helper,True,True,https://github.com/Enterprise-CMCS/serverless-iam-helper,400234949.0
https://github.com/sassoftware/edx-theme,False,False,,
https://github.com/sassoftware/edx-demo-course,False,False,,
https://github.com/sassoftware/configuration,False,False,,
https://github.com/sassoftware/iot-esp-and-omnio-integration,False,False,,
https://github.com/sassoftware/quickstart-sas-viya,False,False,,
https://github.com/sassoftware/restaf-graphql-demo,False,False,,
https://github.com/sassoftware/iot-load-data-to-cas-using-mas,False,False,,
https://github.com/serverless-devs/core,True,False,https://github.com/Serverless-Devs/core,299179746.0
https://github.com/vmware-archive/test-automation-for-web-applications,True,False,https://github.com/vmware-archive/test-automation-for-web-applications,447053791.0
https://github.com/aws/codewhisperer-command-line-discussions,True,True,https://github.com/aws/q-command-line-discussions,720269251.0
https://github.com/vmware/ansible-module-vcloud-director,True,True,https://github.com/vmware-archive/ansible-module-vcloud-director,132650038.0
https://github.com/igraph/igraph.r-universe.dev,True,False,https://github.com/igraph/igraph.r-universe.dev,577731757.0
https://github.com/vmware-samples/sonarqube-plugin-for-java,True,True,https://github.com/vmware-archive/SonarQube-Plugin-for-Java,425674658.0
https://github.com/bbc/dazzler-edit,False,False,,
https://github.com/confidential-containers/cloud-providers,False,False,,
https://github.com/confidential-containers/peerpod-ctrl,False,False,,
https://github.com/vmware/vcd-ext-sdk,True,True,https://github.com/vmware-archive/vcd-ext-sdk,121799175.0
https://github.com/vmware/ansible-aws-greengrass,True,True,https://github.com/vmware-archive/ansible-aws-greengrass,123977024.0
https://github.com/vmware/pyvcloud,True,True,https://github.com/vmware-archive/pyvcloud,26552706.0
https://github.com/vmware/bitfusion-with-kubernetes-integration,True,True,https://github.com/vmware-archive/bitfusion-with-kubernetes-integration,311261462.0
https://github.com/vmware/vmware-cloud-director-ui-components,True,True,https://github.com/vmware-archive/vmware-cloud-director-ui-components,224441644.0
https://github.com/vmware-samples/webassembly-browser-apps,True,True,https://github.com/vmware-archive/webassembly-browser-apps,528728573.0
https://github.com/vmware-labs/repository-editor-for-tuf,True,True,https://github.com/vmware-archive/repository-editor-for-tuf,385603049.0
https://github.com/vmware/database-stream-processor,True,True,https://github.com/vmware-archive/database-stream-processor,438397086.0
https://github.com/joyent/node-http-signature,True,True,https://github.com/TritonDataCenter/node-http-signature,2048781.0
https://github.com/vmware/metadata-reaper-for-kafka,True,True,https://github.com/vmware-archive/metadata-reaper-for-kafka,632487087.0
https://github.com/vmware/bare-metal-server-integration-with-nsxt,True,True,https://github.com/vmware-archive/bare-metal-server-integration-with-nsxt,148253888.0
https://github.com/jaegertracing/jaeger-client-go,True,False,https://github.com/jaegertracing/jaeger-client-go,56550961.0
https://github.com/codedellemc/goscaleio,True,True,https://github.com/thecodeteam/goscaleio,31781950.0
https://github.com/vmware-archive/clarity-city,True,False,https://github.com/vmware-archive/clarity-city,181727342.0
https://github.com/cilium/ebpf.io-summit,False,False,,
https://github.com/vmware-archive/cloud-automation-samples,True,False,https://github.com/vmware-archive/cloud-automation-samples,202598805.0
https://github.com/vmware/cloud-to-edge-config-ui,True,True,https://github.com/vmware-archive/cloud-to-edge-config-ui,154689518.0
https://github.com/vmware-archive/photon-controller-go-sdk,True,False,https://github.com/vmware-archive/photon-controller-go-sdk,51312632.0
https://github.com/vmware/clarity-assets,True,True,https://github.com/vmware-archive/clarity-assets,156885234.0
https://github.com/tmpvar/defaults,True,True,https://github.com/sindresorhus/node-defaults,7985040.0
https://github.com/vmware-archive/vsan-integration-for-prometheus,True,False,https://github.com/vmware-archive/vsan-integration-for-prometheus,247123640.0
https://github.com/microsoft/powerbi-visuals-utils-onobjectformatting,True,True,https://github.com/microsoft/powerbi-visuals-utils-onobjectutils,731057031.0
https://github.com/docker/go,True,False,https://github.com/docker/go,39724995.0
https://github.com/jakartaee/enterprise-beans,True,False,https://github.com/jakartaee/enterprise-beans,135178463.0
https://github.com/hdrhistogram/hdrhistogram-go,True,False,https://github.com/HdrHistogram/hdrhistogram-go,21802784.0
https://github.com/pivotal-cf/docs-pivotalcf-console,False,False,,
https://github.com/vmware-archive/transport-java,True,False,https://github.com/vmware-archive/transport-java,313633196.0
https://github.com/vmware-tanzu/buildkit-cli-for-kubectl,True,True,https://github.com/vmware-archive/buildkit-cli-for-kubectl,306426878.0
https://github.com/vectordotdev/regex,False,False,,
https://github.com/vectordotdev/docusaurus,False,False,,
https://github.com/paradigm4/summarize,False,False,,
https://github.com/curiefense/curiefense,False,False,,
https://github.com/department-of-veterans-affairs/appeals-devops-jenkins,False,False,,
https://github.com/hhs/dscolab---spring-2020-cohort,False,False,,
https://github.com/nietowilson/diabeticscol,False,False,,
https://github.com/microsoft/docs,False,False,,
https://github.com/microsoft/azure-data-services-go-fast-codebase,False,False,,
https://github.com/skypy/bootstrap,False,False,,
https://github.com/streamich/freebsd,False,False,,
https://github.com/paradigm4/sg_free_cross_between,False,False,,
https://github.com/paradigm4/collate,False,False,,
https://github.com/department-of-veterans-affairs/tech-jam-2013---islington-green,False,False,,
https://github.com/bbc/programmes-preview,False,False,,
https://github.com/department-of-veterans-affairs/tech-jam-2013---ibm-federal,False,False,,
https://github.com/streamich/glamorous,False,False,,
https://github.com/department-of-veterans-affairs/tech-jam-2013---infusion-,False,False,,
https://github.com/department-of-veterans-affairs/tech-jam-2013---team-11,False,False,,
https://github.com/paradigm4/scripts,False,False,,
https://github.com/getsentry/scratch.codecov-flakiness,False,False,,
https://github.com/hashicorp/learn-terraform-cloud,True,True,https://github.com/hashicorp-education/learn-terraform,464935169.0
https://github.com/pivotal-cf/docs-identity,False,False,,
https://github.com/pivotal-cf/docs-build-service,False,False,,
https://github.com/microsoft/windows-sandbox-utilities,True,True,https://github.com/microsoft/Windows-Sandbox,249845293.0
https://github.com/noaa-orr-erd/mapbox_earcut-feedstock,False,False,,
https://github.com/sassoftware/edx-ora,False,False,,
https://github.com/sassoftware/python-esppy,False,False,,
https://github.com/failsafe787/bittyrant,False,False,,
https://github.com/pivotal-cf/docs-gemfire-for-tas,False,False,,
https://github.com/paradigm4/stream,False,False,,
https://github.com/pivotal-cf/docs-addon-compliance-tools,False,False,,
https://github.com/greenplum-db/plcontainer,False,False,,
https://github.com/greenplum-db/gporca,False,False,,
https://github.com/gnome/seed,False,False,,
https://github.com/gnome/perl-gtk2,False,False,,
https://github.com/gnome/chronojump-web,False,False,,
https://github.com/paradigm4/equi_join,False,False,,
https://github.com/sassoftware/xqueue,False,False,,
https://github.com/pivotal-cf/docs-redis,False,False,,
https://github.com/microsoft/brokered-winrt-components,False,False,,
https://github.com/intel/tdx-tools,False,False,,
https://github.com/sunpy/gallery,False,False,,
https://github.com/azure/azure-docs-sdk-dotnet.fr-fr,False,False,,
https://github.com/microsoft/mcw-iot-and-the-smart-city,False,False,,
https://github.com/microsoft/mcw-azure-blockchain,False,False,,
https://github.com/microsoft/aspnetcore-react-webapp,False,False,,
https://github.com/microsoft/ossarium,False,False,,
https://github.com/microsoft/swagger-ui,False,False,,
https://github.com/aserto-dev/aserto-idp-plugin-okta,False,False,,
https://github.com/gallowsdove/ostrava,False,False,,
https://github.com/aserto-dev/idp-plugin-sdk,False,False,,
https://github.com/aserto-dev/aserto-idp-seed,False,False,,
https://github.com/aserto-dev/aserto-idp-sync,False,False,,
https://github.com/sourcegraph/sourcegraph,False,False,,
https://github.com/pivotal-cf/docs-metrics,False,False,,
https://github.com/gsa/odp-tf-gcp-stackdriver,False,False,,
https://github.com/department-of-veterans-affairs/ngl_oklahoma,False,False,,
https://github.com/cloudhealth/activerecord-mysql-reconnect,False,False,,
https://github.com/opentofu/homebrew-opentofu,False,False,,
https://github.com/intel/rpbs,False,False,,
https://github.com/bengland2/une_stats,False,False,,
https://github.com/bengland2/openstack-osd-discovery,False,False,,
https://github.com/bengland2/stockpile,False,False,,
https://github.com/micro/network,False,False,,
https://github.com/scilifelabdatacentre/development-guidelines,False,False,,
https://github.com/aserto-dev/aserto-idp-plugin-json,False,False,,
https://github.com/genepattern/scgsea,True,True,https://github.com/genepattern/Single.Cell.ssGSEA,644574176.0
https://github.com/sassoftware/quickstart-sas-viya-azure,False,False,,
https://github.com/bengland2/dpdk-pingpong,False,False,,
https://github.com/thenativeweb/boolean,False,False,,
https://github.com/anaconda/terraform-aws-rds-cluster,False,False,,
https://github.com/pivotal-cf/docs-scheduler,False,False,,
https://github.com/openrewrite/rewrite-circleci,False,False,,
https://github.com/openrewrite/rewrite-concourse,False,False,,
https://github.com/openrewrite/rewrite-sql,False,False,,
https://github.com/openrewrite/rewrite-ruby,False,False,,
https://github.com/openrewrite/rewrite-ai-search,False,False,,
https://github.com/openrewrite/rewrite-github-actions,True,False,https://github.com/openrewrite/rewrite-github-actions,390014687.0
https://github.com/kiegroup/wildfly,False,False,,
https://github.com/azure/responsible-ai-hub,False,False,,
https://github.com/azure/flux2-gitops,False,False,,
https://github.com/commaai/agnos,False,False,,
https://github.com/openrewrite/rewrite-kubernetes,False,False,,
https://github.com/fanniemaeopensource/hackudt-2023,False,False,,
https://github.com/microsoft/c2pa-content-credentials-validator,False,False,,
https://github.com/department-of-veterans-affairs/health-apis-data-query,False,False,,
https://github.com/department-of-veterans-affairs/caseflow-commons,False,False,,
https://github.com/department-of-veterans-affairs/ngl_rhode_island,False,False,,
https://github.com/department-of-veterans-affairs/ngl-arizona-,False,False,,
https://github.com/department-of-veterans-affairs/lighthouse-facilities,False,False,,
https://github.com/department-of-veterans-affairs/redacted-public-release-bms-v3-v2.4-iter-4-oct-2019,False,False,,
https://github.com/department-of-veterans-affairs/health-apis-datamart-synthetic-records,False,False,,
https://github.com/department-of-veterans-affairs/health-apis-ids,False,False,,
https://github.com/department-of-veterans-affairs/health-apis-community-care-eligibility,False,False,,
https://github.com/department-of-veterans-affairs/jarranger-maven-plugin,False,False,,
https://github.com/department-of-veterans-affairs/lighthouse-benefits-gateway-services,False,False,,
https://github.com/department-of-veterans-affairs/developer-portal,False,False,,
https://github.com/department-of-veterans-affairs/lighthouse-vulcan,False,False,,
https://github.com/department-of-veterans-affairs/lighthouse-mock-benefits-gateway-services,False,False,,
https://github.com/cisagov/ansible-role-pypy,False,False,,
https://github.com/department-of-veterans-affairs/lighthouse-starter-datamart,False,False,,
https://github.com/digitalservicebund/ris-reports,False,False,,
https://github.com/gsa/odp-tf-google-sql,False,False,,
https://github.com/cisagov/ansible-role-disable-thp,False,False,,
https://github.com/owasp/www-project-my-sample-documentation-project,False,False,,
https://github.com/sassoftware/intern,False,False,,
https://github.com/bbc/devx-templates,False,False,,
https://github.com/cdcgov/covid19-rt,False,False,,
https://github.com/fedora-infra/automate-packaging-tracker,False,False,,
https://github.com/sassoftware/restaf-graphql-server,False,False,,
https://github.com/sassoftware/iot-ingest-data-into-cas-from-sas-esp,False,False,,
https://github.com/longhorn/samba,False,False,,
https://github.com/sassoftware/content-sdk,False,False,,
https://github.com/desmondsanctity/circe-klinikos,False,False,,
https://github.com/open-telemetry/opentelemetry-profiling,False,False,,
https://github.com/vectordotdev/tcp_server,False,False,,
https://github.com/microsoft/mcw-migrating-oracle-to-azure-sql-and-postgresql,False,False,,
https://github.com/microsoft/mcw,False,False,,
https://github.com/microsoft/mobile-chest-x-ray-analysis,False,False,,
