old_url,still_there,moved,new_url,repo_src_id
https://github.com/department-of-veterans-affairs/ngl_south_carolina,False,False,,
https://github.com/gallowsdove/ostrava,False,False,,
https://github.com/aserto-dev/aserto-idp-plugin-azuread,False,False,,
https://github.com/paradigm4/faster_redimension,False,False,,
https://github.com/paradigm4/stream,False,False,,
https://github.com/aserto-dev/aserto-idp-plugin-json,False,False,,
https://github.com/aserto-dev/aserto-idp,False,False,,
https://github.com/aserto-dev/aserto-idp-plugin-okta,False,False,,
https://github.com/aserto-dev/aserto-go,False,False,,
https://github.com/paradigm4/finance,False,False,,
https://github.com/aserto-dev/idp-plugin-sdk,False,False,,
https://github.com/mikeal/request,True,True,https://github.com/request/request,1283503
https://github.com/scikit-hep/uproot4,True,True,https://github.com/scikit-hep/uproot5,262422450
https://github.com/worldhealthorganization/mnf-anthro-analyzer-offline,False,False,,
https://github.com/streamich/javascriptstuff-db,False,False,,
https://github.com/jaredwray/file-entry-cache,False,False,,
https://github.com/cnabio/cnab-go,True,False,https://github.com/cnabio/cnab-go,177965234
https://github.com/streamich/rockey,False,False,,
https://github.com/department-of-veterans-affairs/vets-website,True,False,https://github.com/department-of-veterans-affairs/vets-website,33202667
https://github.com/mattwilkinsonn/rust-claims,False,False,,
https://github.com/netflix/titus-controllers-api,False,False,,
https://github.com/gsa/beta-gsa,False,False,,
https://github.com/chromedp/sysutil,True,False,https://github.com/chromedp/sysutil,77187805
https://github.com/netflix/titus-resource-pool,False,False,,
https://github.com/ceph/ceph,True,False,https://github.com/ceph/ceph,2310495
https://github.com/ussba/reference-architecture,False,False,,
https://github.com/stolostron/acmqe-ci,False,False,,
https://github.com/ussba/aws-proton-sample-fargate-service,False,False,,
https://github.com/dotnet/docs,True,False,https://github.com/dotnet/docs,35890081
https://github.com/hashicorp/learn-terraform,False,False,,
https://github.com/bengland2/bohica,False,False,,
https://github.com/paradigm4/binary_load_example,False,False,,
https://github.com/airbytehq/airbyte,True,False,https://github.com/airbytehq/airbyte,283046497
https://github.com/dotnet/fsharp-api-docs,False,False,,
https://github.com/dotnet/runtime,True,False,https://github.com/dotnet/runtime,210716005
https://github.com/paradigm4/shift,False,False,,
https://github.com/paradigm4/limit,False,False,,
https://github.com/bengland2/cbt,False,False,,
https://github.com/airbytehq/stephane-airbyte,False,False,,
https://github.com/paradigm4/elastic_resource_groups,False,False,,
https://github.com/paradigm4/rv-stream,False,False,,
https://github.com/paradigm4/secure_scan,False,False,,
https://github.com/paradigm4/ganglia_python_modules,False,False,,
https://github.com/paradigm4/taq,False,False,,
https://github.com/paradigm4/scidb-shiny-auth,False,False,,
https://github.com/paradigm4/chunk_unique,False,False,,
https://github.com/paradigm4/nbbo-example,False,False,,
https://github.com/paradigm4/llsg,False,False,,
https://github.com/18f/polyfill-service,False,False,,
https://github.com/paradigm4/knn,False,False,,
https://github.com/paradigm4/grouped_aggregate,False,False,,
https://github.com/department-of-veterans-affairs/ngl_oregon,False,False,,
https://github.com/paradigm4/scidb-julia,False,False,,
https://github.com/paradigm4/scidb-tornado,False,False,,
https://github.com/paradigm4/load_tools,False,False,,
https://github.com/paradigm4/quotes,False,False,,
https://github.com/paradigm4/summarize,False,False,,
https://github.com/paradigm4/scidb-py,False,False,,
https://github.com/paradigm4/af,False,False,,
https://github.com/paradigm4/equi_join,False,False,,
https://github.com/paradigm4/basic_training,False,False,,
https://github.com/paradigm4/accelerated_io_tools,False,False,,
https://github.com/openshift/operator-framework-kapp-controller,False,False,,
https://github.com/allinopensource/emmaire-ahtunan,False,False,,
https://github.com/css-modules/icss-replace-symbols,True,True,https://github.com/css-modules/icss-utils,42766912
https://github.com/cilium/ebpf.io-summit,False,False,,
https://github.com/allinopensource/passwordgenerator-mlh-ghw-2023,False,False,,
https://github.com/bitnami/arcanist-extensions,False,False,,
https://github.com/bitnami/azure-marketplace-charts,False,False,,
https://github.com/pivotal-cf/docs-pivotalcf-console,False,False,,
https://github.com/kubevirt/vmctl,False,False,,
https://github.com/openrewrite/rewrite-circleci,False,False,,
https://github.com/notaryproject/notation-go-lib,True,True,https://github.com/notaryproject/notation-go,297835711
https://github.com/mongodb/terraform-provider-mongodbatlas-archive,False,False,,
https://github.com/intel/fineibt_testing,False,False,,
https://github.com/intel/esp-profile-redhat,False,False,,
https://github.com/intel/rpbs-telemetry,False,False,,
https://github.com/hhs/grants-api,True,True,https://github.com/HHS/simpler-grants-gov,598273496
https://github.com/intel/rpbs,False,False,,
https://github.com/intel/pretraining-with-intel-accelerators-gpu,False,False,,
https://github.com/gnome/gnome-common,False,False,,
https://github.com/pivotal-cf/docs-pcf-windows,False,False,,
https://github.com/alphagov/notifications-functional-tests-callback-app,False,False,,
https://github.com/pivotal-cf/docs-scheduler,False,False,,
https://github.com/pivotal-cf/docs-pas,False,False,,
https://github.com/pivotal-cf/docs-nist,False,False,,
https://github.com/18f/fleet,False,False,,
https://github.com/18f/draft-rfq-fns-nac,False,False,,
https://github.com/department-of-veterans-affairs/ngl-august-2015,False,False,,
https://github.com/department-of-veterans-affairs/nca-ngl-aug-2015,False,False,,
https://github.com/department-of-veterans-affairs/ngl_florida,False,False,,
https://github.com/department-of-veterans-affairs/ngl_georgia,False,False,,
https://github.com/department-of-veterans-affairs/caseflow-efolder,False,False,,
https://github.com/department-of-veterans-affairs/ngl_arkansas,False,False,,
https://github.com/department-of-veterans-affairs/ngl_kentucky,False,False,,
https://github.com/department-of-veterans-affairs/ngl_foreign_addresses,False,False,,
https://github.com/department-of-veterans-affairs/ngl_maryland,False,False,,
https://github.com/department-of-veterans-affairs/ngl_michigan,False,False,,
https://github.com/intel/perf-hfsort,False,False,,
https://github.com/department-of-veterans-affairs/ngl_missouri,False,False,,
https://github.com/vmware-archive/vsan-integration-for-prometheus,True,False,https://github.com/vmware-archive/vsan-integration-for-prometheus,247123640
https://github.com/department-of-veterans-affairs/ngl-alabama,False,False,,
https://github.com/confluentinc/terraform-state-s3,False,False,,
https://github.com/department-of-veterans-affairs/ngl-arkansas,False,False,,
https://github.com/department-of-veterans-affairs/ngl-california,False,False,,
https://github.com/department-of-veterans-affairs/ngl-connecticut,False,False,,
https://github.com/pivotal-cf/docs-mysql-k8s,False,False,,
https://github.com/pivotal-cf/docs-csb-azure,False,False,,
https://github.com/pivotal-cf/docs-csb-aws,False,False,,
https://github.com/alphagov/special-route-publisher,False,False,,
https://github.com/department-of-veterans-affairs/ngl-indiana,False,False,,
https://github.com/department-of-veterans-affairs/ngl-iowa,False,False,,
https://github.com/department-of-veterans-affairs/jarranger-maven-plugin,False,False,,
https://github.com/vmware/upgrade-framework,True,True,https://github.com/vmware-archive/upgrade-framework,20893538
https://github.com/department-of-veterans-affairs/ngl_minnesota,False,False,,
https://github.com/openela-main/perl-text-tabs-wrap,False,False,,
https://github.com/department-of-veterans-affairs/ngl-maine,False,False,,
https://github.com/vmware/cloud-to-edge-config-ui,True,True,https://github.com/vmware-archive/cloud-to-edge-config-ui,154689518
https://github.com/vmware/cloud-director-ext-emulators,True,True,https://github.com/vmware-archive/cloud-director-ext-emulators,308595432
https://github.com/department-of-veterans-affairs/ngl-michigan,False,False,,
https://github.com/vmware-archive/photon-controller-go-sdk,True,False,https://github.com/vmware-archive/photon-controller-go-sdk,51312632
https://github.com/department-of-veterans-affairs/ngl-nebraska,False,False,,
https://github.com/department-of-veterans-affairs/ngl-nevada,False,False,,
https://github.com/warrant-dev/plugin-image-zoom,False,False,,
https://github.com/vmware-archive/snapshot-diff-library,True,False,https://github.com/vmware-archive/snapshot-diff-library,366147404
https://github.com/buildpacks/imgutil,True,False,https://github.com/buildpacks/imgutil,181033717
https://github.com/warrant-dev/homebrew-warrant,False,False,,
https://github.com/warrant-dev/socal-infra-devtools-companies,False,False,,
https://github.com/hl7/fhir-us-pq-cmc-fda,True,False,https://github.com/HL7/FHIR-us-pq-cmc-fda,188119258
https://github.com/apache/incubator-seatunnel-web,True,True,https://github.com/apache/seatunnel-web,541385487
https://github.com/codedellemc/goscaleio,True,True,https://github.com/thecodeteam/goscaleio,31781950
https://github.com/tootallnate/proxy-agents,True,False,https://github.com/TooTallNate/proxy-agents,11293703
https://github.com/geomscale/gsoc2021,True,True,https://github.com/GeomScale/gsoc21,337766689
https://github.com/vmware-labs/vms-for-slurm,True,True,https://github.com/vmware-archive/vms-for-slurm,361912513
https://github.com/aws/codewhisperer-command-line-discussions,True,True,https://github.com/aws/q-command-line-discussions,720269251
https://github.com/apache/logging-flume-scribe,True,False,https://github.com/apache/logging-flume-scribe,615488984
https://github.com/vmware-samples/people-counter-ingestion,True,True,https://github.com/vmware-archive/people-counter-ingestion,226203867
https://github.com/apache/logging-flume-irc,True,False,https://github.com/apache/logging-flume-irc,615490022
https://github.com/vmware-archive/test-automation-for-web-applications,True,False,https://github.com/vmware-archive/test-automation-for-web-applications,447053791
https://github.com/apache/logging-flume-twitter,True,False,https://github.com/apache/logging-flume-twitter,615488773
https://github.com/openela-main/memtest86-,False,False,,
https://github.com/hl7/cda-ccda-2.1-sd,True,True,https://github.com/HL7/CDA-ccda,186489141
https://github.com/nodejs/node,True,False,https://github.com/nodejs/node,27193779
https://github.com/microsoft/quic-offloads,True,True,https://github.com/microsoft/net-offloads,551612451
https://github.com/quantecon/book-dp1-public,True,False,https://github.com/QuantEcon/book-dp1-public,583308362
